回数,種別,科目名,番号,問題文,選択肢１,選択肢２,選択肢３,選択肢４,答
25,按マ指,解剖学,21,食道について正しいのはどれか。,気管の前を通る。,第4頸椎の高さで始まる。,大動脈の前で横隔膜を貫く。,左心房の高さに生理的狭窄がみられる。,3
25,按マ指,解剖学,22,子宮について正しいのはどれか。,子宮底部は膣につながる。,子宮広間膜に包まれる。,子宮動脈は外腸骨動脈の枝である。,子宮円索によって骨盤壁に固定される。,2
25,按マ指,解剖学,23,副腎について正しいのはどれか。,後面は腹膜で覆われる。,内胚葉性の器官である。,上腸間膜動脈の枝が分布する。,網状帯が髄質を取り囲んでいる。,4
25,按マ指,解剖学,24,交連線維はどれか。,脳梁,脳弓,内包,視放線,1
25,按マ指,解剖学,25,腰神経叢の枝はどれか。,陰部神経,閉鎖神経,上殿神経,後大腿皮神経,2
25,按マ指,解剖学,26,内耳について正しいのはどれか。,鼓室にある。,前庭窓にキヌタ骨がはまる。,半規管に蝸牛神経がつながる。,膜迷路の内部は内リンパで満たされる。,4
25,按マ指,生理学,27,血液凝固因子はどれか。,ヘパリン,ビタミンB12,ウロキナーゼ,カルシウムイオン,4
25,按マ指,生理学,28,固有心筋について誤っているのはどれか。,ギャップ結合がある。,不随意筋である。,横紋筋である。,強縮する筋である。,4
25,按マ指,生理学,29,動脈血中の濃度が上昇すると呼吸運動を促進するのはどれか。,ヘモグロビン,酸素,水素イオン,重炭酸イオン,3
25,按マ指,生理学,30,消化酵素とそれが作用する栄養素の組合せで正しいのはどれか。,アミラーゼ……ラクトース,リパーゼ……デンプン,トリプシン……蛋白質,ヌクレアーゼ……脂肪,3
25,按マ指,生理学,31,小腸で主に能動的に吸収されるのはどれか。,水,脂肪酸,塩化物イオン,グルコース,4
25,按マ指,生理学,32,体温について正しいのはどれか。,口腔温は直腸温より高い。,夜間は日中より高い。,月経後に高い。,食後に高い。,4
25,按マ指,生理学,33,腎臓で再吸収されないのはどれか。,尿素,アミノ酸,水素イオン,ナトリウムイオン,3
25,按マ指,生理学,34,視床下部によって調節されるのはどれか。,感覚機能,飲水行動,嘔吐反射,姿勢保持,2
25,按マ指,生理学,35,姿勢維持に関与する筋の特徴として誤っているのはどれか。,収縮速度が遅い。,白筋である。,疲れにくい。,ミオグロビン量が多い。,2
25,按マ指,生理学,36,触圧覚が最も敏感なのはどれか。,口唇,前腕,背部,下腿,1
25,按マ指,生理学,37,早朝に最も分泌が高くなるのはどれか。,メラトニン,成長ホルモン,インスリン,コルチゾール,4
25,按マ指,病理学,38,病理組織診断で確定されるのはどれか。,尿中の結晶の種類,僧帽弁逆流の有無,感染症の起炎菌の種類,癌のリンパ節転移の有無,4
25,按マ指,病理学,39,男性に発症しやすいのはどれか。,血友病,大腸腺腫症,エドワーズ症候群,マルファン症候群,1
25,按マ指,病理学,40,再生能力が最も高いのはどれか。,神経,表皮,心筋,軟骨,2
25,按マ指,病理学,41,右心不全で肝臓に最も生じやすいのはどれか。,うっ血,出血,梗塞,塞栓,1
25,按マ指,病理学,42,炎症で最も遅い時期にみられるのはどれか。,好中球の遊走,細動脈の収縮,肉芽組織の形成,血漿成分の滲出,3
25,按マ指,病理学,43,予防ワクチンがある癌はどれか。,乳癌,大腸癌,子宮頸癌,甲状腺癌,3
25,按マ指,病理学,44,扁平上皮癌が最も発生しやすいのはどれか。,肺,胃,肝臓,膀胱,1
25,按マ指,臨床医学総論,45,体表から最も触知しやすい神経はどれか。,筋皮神経,橈骨神経,正中神経,尺骨神経,4
25,按マ指,臨床医学総論,46,臓器と触診部位の組合せで正しいのはどれか。,肝臓……右季肋部,腎臓……心窩部,虫垂……左下腹部,膵臓……右側腹部,1
25,按マ指,臨床医学総論,47,被曝を伴う検査はどれか。,脳MRI検査,胸部CT検査,腹部超音波検査,上部消化管内視鏡検査,2
25,按マ指,臨床医学総論,48,呼吸音が減弱するのはどれか。,早期肺癌,気管支炎,緊張性気胸,気管支喘息,3
25,按マ指,臨床医学総論,49,障害により涙液・唾液分泌の異常をきたすのはどれか。,三叉神経,顔面神経,舌咽神経,舌下神経,2
25,按マ指,臨床医学総論,50,心臓性浮腫の初期の特徴として適切なのはどれか。,顔面、特に上眼瞼に出現する。,全身性に高度の浮腫をきたす。,発赤、熱感、疼痛を伴う。,下肢に出現する傾向にある。,4
25,按マ指,臨床医学総論,51,自律神経反射はどれか。,足底反射,下顎反射,頸動脈洞反射,アキレス腱反射,3
25,按マ指,臨床医学総論,52,頸椎疾患の徒手検査法はどれか。,ジャクソンテスト,モーレイテスト,ヤーガソンテスト,トーマステスト,1
25,按マ指,臨床医学総論,53,体重増加をきたす疾患はどれか。,甲状腺機能亢進症,パーキンソン症候群,クッシング症候群,アジソン病,3
25,按マ指,臨床医学総論,54,体温が持続的に高く、日内変動が1℃以上の熱型はどれか。,稽留熱,弛張熱,間欠熱,周期熱,2
25,按マ指,臨床医学総論,55,頸椎症性神経根症について正しいのはどれか。,痙性麻痺を認める。,膀胱直腸障害を認める。,上肢腱反射の減弱を認める。,病的反射を認める。,3
25,按マ指,臨床医学総論,56,ウイルス感染性疾患はどれか。,梅毒,破傷風,小児麻痺,脊椎カリエス,3
25,按マ指,臨床医学各論,57,手の腱鞘炎について正しいのはどれか。,1回の外力により起こる。,ドケルバン病は手関節橈側に起こる。,槌指の原因である。,局所の発赤を認める。,2
25,按マ指,臨床医学各論,58,女性に多い疾患はどれか。,ペルテス病,先天性内反足,特発性側弯症,キーンベック病,3
25,按マ指,臨床医学各論,59,疾患と治療装具の組合せで正しいのはどれか。,斜頸……ボストンブレース,特発性側弯症……フォンローゼン装具,発育性股関節形成不全……リーメンビューゲル装具,先天性内反足……ミルウォーキーブレース,3
25,按マ指,臨床医学各論,60,硬膜外麻酔について正しいのはどれか。,分節麻酔を行える。,頸部には用いない。,効果発現は脊髄麻酔よりも早い。,局所麻酔薬をくも膜下腔に注入する。,1
25,按マ指,臨床医学各論,61,肺癌の隣接臓器への浸潤により起こるのはどれか。,ダンピング症候群,ネフローゼ症候群,クッシング症候群,パンコースト症候群,4
25,按マ指,臨床医学各論,62,気胸について正しいのはどれか。,突然嗄声が出現する。,肥満は危険因子である。,女性に多い。,胸部エックス線検査で診断する。,4
25,按マ指,臨床医学各論,63,脳出血で四肢麻痺を認める出血部位はどれか。,橋,視床,被殻,小脳,1
25,按マ指,臨床医学各論,64,潰瘍性大腸炎の所見として適切でないのはどれか。,血性下痢,痔瘻,腹痛,発熱,2
25,按マ指,臨床医学各論,65,低色素性貧血はどれか。,鉄欠乏性貧血,巨赤芽球性貧血,溶血性貧血,再生不良性貧血,1
25,按マ指,臨床医学各論,66,COPDについて正しいのはどれか。,我が国では原因の約50％が喫煙とされている。,労作時の息切れが特徴である。,肺が縮小する疾患である。,運動療法は無効である。,2
25,按マ指,臨床医学各論,67,ビタミン欠乏と疾患の組合せで正しいのはどれか。,ビタミンA……壊血病,ビタミンB12……脚気,ビタミンC……夜盲症,ビタミンD……骨軟化症,4
25,按マ指,臨床医学各論,68,高血圧症について正しいのはどれか。,多くは頭痛を主訴とする。,原因の90％以上は遺伝的要因である。,食事療法ではカリウム摂取を制限する。,罹患率は年齢とともに増加する。,4
25,按マ指,臨床医学各論,69,高尿酸血症について正しいのはどれか。,成人女性に多い。,合併症に尿管結石がある。,関節炎は手関節に好発する。,カルシウムの代謝と関係する。,2
25,按マ指,臨床医学各論,70,次の文で示す運動について、問いに答えよ。「肩こり体操で両肩をすくめて5秒間保持し、脱落させる。続いて両肩甲骨を脊柱に引き寄せる運動を行わせた。」両肩をすくめて5秒間保持させる主動作筋はどれか。,斜角筋,僧帽筋,棘上筋,三角筋,2
25,按マ指,臨床医学各論,71,次の文で示す運動について、問いに答えよ。「肩こり体操で両肩をすくめて5秒間保持し、脱落させる。続いて両肩甲骨を脊柱に引き寄せる運動を行わせた。」両肩甲骨を脊柱に引き寄せる運動の主動作筋を支配する神経はどれか。,肩甲上神経,肩甲下神経,肩甲背神経,腋窩神経,3
25,按マ指,総合(基礎科目),72,次の文で示す症例について、問いに答えよ。「45歳の男性。飲酒歴は長い。飲酒後に腹痛が出現し、痛みは心窩部および背部に認めた。血液検査ではアミラーゼおよびリパーゼが高値であった。」本症例で最も疑われるのはどれか。,胃潰瘍,胆嚢炎,慢性膵炎,潰瘍性大腸炎,3
25,按マ指,総合(基礎科目),73,次の文で示す症例について、問いに答えよ。「45歳の男性。飲酒歴は長い。飲酒後に腹痛が出現し、痛みは心窩部および背部に認めた。血液検査ではアミラーゼおよびリパーゼが高値であった。」本疾患でみられる便はどれか。,新鮮血便,脂肪便,粘血便,タール便,2
25,按マ指,総合(基礎科目),74,次の文で示す症例について、問いに答えよ。「75歳の男性。病院を受診し、脳梗塞による軽い片麻痺と診断された。」麻痺側にみられる所見はどれか。,バレー徴候,ロンベルグ徴候,ラセーグ徴候,ケンプ徴候,1
25,按マ指,総合(基礎科目),75,次の文で示す症例について、問いに答えよ。「75歳の男性。病院を受診し、脳梗塞による軽い片麻痺と診断された。」麻痺側で亢進する反射はどれか。,角膜反射,挙睾筋反射,腹壁反射,アキレス腱反射,4
25,按マ指,臨床医学各論,76,甲状腺機能亢進症の症状でないのはどれか。,徐脈,発汗過多,体重減少,眼球突出,1
25,按マ指,臨床医学各論,77,膠原病と所見の組合せで誤っているのはどれか。,ベーチェット病……口腔粘膜のアフタ性潰瘍,多発性筋炎……遠位筋の筋力低下,全身性硬化症……手指のレイノー現象,シェーグレン症候群……ドライアイ,2
25,按マ指,臨床医学各論,78,急性膀胱炎について正しいのはどれか。,原因菌は大腸菌が多い。,男性に多い。,高熱をきたすことが多い。,水分はあまり摂らない方がよい。,1
25,按マ指,リハビリテーション医学,79,ICFの「活動」に該当する内容はどれか。,腎機能,調理,筋力,医療制度,2
25,按マ指,リハビリテーション医学,80,維持期リハビリテーションで主に取り組むべきことはどれか。,麻痺の回復の促進,ADLの早期獲得,社会参加の促進,早期離床,3
25,按マ指,リハビリテーション医学,81,高次脳機能障害の評価で正しいのはどれか。,バーセルインデックス,線分抹消テスト,徒手筋力テスト,拮抗運動反復テスト,2
25,按マ指,リハビリテーション医学,82,摂食嚥下障害に対する対応として誤っているのはどれか。,口腔ケア,食形態の調整,栄養管理,頸椎伸展位での食事,4
25,按マ指,リハビリテーション医学,83,錐体路の障害で生じるのはどれか。,アテトーゼ,痙性麻痺,運動失調,筋の固縮,2
25,按マ指,リハビリテーション医学,84,脳卒中の嚥下障害で正しいのはどれか。,食道の通過障害を生じる。,仮性球麻痺よりも球麻痺が多い。,時間経過で回復しにくい。,ゼリーは飲み込みやすい。,4
25,按マ指,リハビリテーション医学,85,脊髄損傷の合併症はどれか。,異所性骨化,心筋梗塞,気胸,認知症,1
25,按マ指,リハビリテーション医学,86,カナダ式ソケットの適応となるのはどれか。,股離断,大腿切断,膝離断,下腿切断,1
25,按マ指,リハビリテーション医学,87,脳性麻痺で起こる痙直型両麻痺の歩行について正しいのはどれか。,失調性歩行,分回し歩行,はさみ脚歩行,トレンデレンブルグ歩行,3
25,按マ指,リハビリテーション医学,88,心臓リハビリテーションにおける運動療法の禁忌はどれか。,心移植後,冠動脈形成術後,不安定狭心症,末梢動脈閉塞性疾患,3
25,按マ指,リハビリテーション医学,89,大腿骨頸部骨折のリハビリテーションで正しいのはどれか。,リハビリテーションは手術後から開始する。,内固定術の場合、脱臼肢位に注意する。,術後疼痛緩和のために極超短波療法を行う。,人工骨頭置換術の場合、術直後から歩行訓練を行う。,4
25,按マ指,リハビリテーション医学,90,パーキンソン病にみられる症状はどれか。,痙縮,企図振戦,鉛管現象,折りたたみナイフ現象,3
25,按マ指,東洋医学概論,91,五行色体で正しい組合せはどれか。,青……臊,赤……香,黄……腥,黒……焦,1
25,按マ指,東洋医学概論,92,血瘀の特徴的な症状はどれか。,月経血量が少ない。,浮腫がある。,刺すような痛みがある。,ものを言うのがおっくうである。,3
25,按マ指,東洋医学概論,93,五臓とその働きの組合せで正しいのはどれか。,肝……蔵血,心……蔵精,肺……納気,腎……統血,1
25,按マ指,東洋医学概論,94,治節を主るのはどれか。,肝,心,脾,肺,4
25,按マ指,東洋医学概論,95,外因の火邪に犯されやすい臓はどれか。,肝,心,脾,肺,2
25,按マ指,東洋医学概論,96,腎を傷りやすい病因はどれか。,飲食不節,抑うつ,風邪,房事過多,4
25,按マ指,東洋医学概論,97,小腸経の経脈病証でみられるのはどれか。,下顎の腫れ,腹部膨満感,頻尿,腰の痛み,1
25,按マ指,東洋医学概論,98,気の病証における虚証はどれか。,気鬱,気滞,気陥,気逆,3
25,按マ指,東洋医学概論,99,はっきりとしない持続的な痛みはどれか。,隠痛,掣痛,脹痛,重痛,1
25,按マ指,経絡経穴概論,100,正経十二経の流注の順番で脾経の次に来る経脈はどれか。,胃経,心経,小腸経,肝経,2
25,按マ指,経絡経穴概論,101,胆を絡う経脈の原穴はどれか。,丘墟,京骨,太渓,太衝,4
25,按マ指,経絡経穴概論,102,肺の五要穴のうち、表裏する経を同時に治療する作用がある経穴部位はどれか。,前胸部、第1肋間と同じ高さ、鎖骨下窩の外側、前正中線の外方6寸,尺沢と太淵とを結ぶ線の中点の上方1寸,長母指外転筋腱と短母指伸筋腱の間の溝で太淵の上方1寸5分,身柱の外方1寸5分,3
25,按マ指,経絡経穴概論,103,経穴とその部で拍動を触知する動脈の組合せで正しいのはどれか。,手の少陰経の原穴……橈骨動脈,手の太陰経の原穴……尺骨動脈,足の少陰経の原穴……後脛骨動脈,足の太陰経の原穴……足背動脈,3
25,按マ指,経絡経穴概論,104,募穴と臓腑の生理機能の組合せで正しいのはどれか。,期門……昇清を主る,章門……運化を主る,中府……疏泄を主る,膻中……宣発を主る,2
25,按マ指,経絡経穴概論,105,経穴と筋の組合せで正しいのはどれか。,足三里……長指屈筋,血海……外側広筋,飛揚……前脛骨筋,光明……長腓骨筋,4
25,按マ指,経絡経穴概論,106,脾の募穴が属する経脈はどれか。,足の太陰経,足の少陰経,足の厥陰経,足の少陽経,3
25,按マ指,経絡経穴概論,107,第2中足骨底部と中間楔状骨の間に取る経穴はどれか。,京骨,太衝,衝陽,公孫,3
25,按マ指,経絡経穴概論,108,次の文で示す症例について、問いに答えよ。「25歳の男性。昨日寒い屋外で作業をした後、後頸部から肩甲間部にかけて寒気が出現した。」本症例の八綱病証で最も適切なのはどれか。,表証,熱証,虚証,陰証,1
25,按マ指,経絡経穴概論,109,次の文で示す症例について、問いに答えよ。「25歳の男性。昨日寒い屋外で作業をした後、後頸部から肩甲間部にかけて寒気が出現した。」本症例の寒気に温熱療法を行う部位で中心となる経穴はどれか。,臂臑,承扶,陽白,風門,4
25,按マ指,経絡経穴概論,110,ボアスの背部圧痛点に位置する経穴はどれか。,左脾兪,右肝兪,左隔兪,右三焦兪,1
25,按マ指,経絡経穴概論,111,皮膚通電抵抗の低下を特徴とする反応点はどれか。,撮診点,良導点,圧診点,トリガーポイント,2
25,按マ指,東洋医学臨床論,112,症状と病証の組合せで最も適切なのはどれか。,足部の浮腫……気滞,目の乾燥感……血虚,慢性的な疲労感……血瘀,手足の冷え……津傷,2
25,按マ指,東洋医学臨床論,113,次の文で示す患者の病証について、肺経とともに治療する経脈の組合せで最も適切なのはどれか。「68歳の男性。主訴は労作時の息切れ。現在も喫煙をやめられない。咳嗽とともに粘稠な痰が大量に喀出される。最近、食欲が低下し、痩せてきた。足腰がだるく力が入らない。」,腎経と肝経,肝経と心経,心経と脾経,脾経と腎経,4
25,按マ指,東洋医学臨床論,114,次の文で示す患者の病証に対する治療で用いる経脈の組合せで最も適切なのはどれか。「40歳の男性。主訴は夜間の咳嗽。人間関係のトラブルから徐々に咳嗽が出現した。呼吸困難はなく、夜静かになると昼間のことが気になり、咳が出始めるが、痰は軽度。」,肺経と心経,心経と脾経,脾経と肝経,肝経と肺経,4
25,按マ指,東洋医学臨床論,115,次の文で示す患者の病証で治療対象とする臓腑に対応する募穴はどれか。「32歳の女性。主訴は頭重。症状の程度は軽く慢性的である。月経は遅れ気味で、始まると頭重が増悪する。下痢しやすいせいか普段から倦怠感があり、痰が多く、顔色が悪い。舌質は淡、脈は弱。」,期門,京門,章門,石門,3
25,按マ指,東洋医学臨床論,116,次の文で示す患者の病証に対して原穴に施術する際の正しい部位はどれか。「64歳の男性。主訴は聴力低下。半年前から徐々に右耳が聞こえにくくなり、回復しないままである。白髪が増え、腰や膝に力が入らない症状も伴う。」,足関節後内側、内果尖とアキレス腱の間の陥凹部,足内側、第1中足指節関節の近位陥凹部、赤白肉際,足外側、第5中足骨粗面の遠位、赤白肉際,足関節前外側、長指伸筋腱外側の陥凹部、外果尖の前下方。,1
25,按マ指,東洋医学臨床論,117,う歯による下歯痛を訴える患者に対し、鎮痛を目的として循経取穴により原穴に施術をする際の正しい部位はどれか。,手背、第2中手骨中点の橈側,手関節後面、総指伸筋腱の尺側陥凹部、手関節背側横紋上,手関節前面、長掌筋腱と橈側手根屈筋腱の間、手関節掌側横紋上,手関節後内側、第5中手骨底と三角骨の間の陥凹部、赤白肉際,1
25,按マ指,東洋医学臨床論,118,相剋関係で五味のうち過食すると筋や爪の異常をきたす可能性があるのはどれか。,酸,苦,辛,鹹,3
25,按マ指,東洋医学臨床論,119,内関を特効穴とする症状はどれか。,つわり,耳鳴り,鼻づまり,頭痛,1
25,按マ指,東洋医学臨床論,120,高齢者の日常生活機能を評価するのに最も適切なのはどれか。,バーセルインデックス,ロコモ度テスト,改訂長谷川式簡易知能評価スケール,ハミルトン評価尺度,1
25,按マ指,東洋医学臨床論,121,肩こりの施術対象となる筋と局所治療穴の組合せで最も適切なのはどれか。,僧帽筋……臑兪,肩甲挙筋……肩井,頭板状筋……肩外兪,大菱形筋……膏肓,4
25,按マ指,東洋医学臨床論,122,局所治療として欠盆への施術が最も適切な徒手検査所見はどれか。,ジャクソンテスト陽性,アドソンテスト陽性,インピンジメントテスト陽性,ヤーガソンテスト陽性,2
25,按マ指,東洋医学臨床論,123,次の文で示す症例に対し、施術対象となる筋で最も適切なのはどれか。「35歳の男性。手掌の母指から中指にかけて痛みとしびれを自覚。中指掌側に知覚異常が認められる。少海から孔最にかけての圧迫で症状の再現する部位があった。」,長橈側手根伸筋,腕橈骨筋,円回内筋,尺側手根屈筋,3
25,按マ指,東洋医学臨床論,124,次の文で示す症例で最もみられやすい所見はどれか。「70歳の女性。10年前に慢性的な腰痛を自覚し、近医を受診したところ骨密度の減少を指摘された。5日前に尻もちをついて腰痛を発症した。下肢の神経学的所見に異常はない。」,階段状変形,棘突起の叩打痛,ＳＬＲテスト陽性,Ｋ・ボンネットテスト陽性,2
25,按マ指,東洋医学臨床論,125,変形性膝関節症に伴う関節水腫（水症）で陽性となる徒手検査法として最も適切なのはどれか。,アプレイテスト,ラックマンテスト,膝蓋跳動,膝蓋骨圧迫テスト,3
25,按マ指,東洋医学臨床論,126,次の文で示す運動で上腕二頭筋にみられる収縮はどれか。「坐位にて上腕下垂位、前腕回外位でダンベルを持ち、肘関節を屈曲位からゆっくりと伸展した。」,等速性収縮,等尺性収縮,遠心性収縮,求心性収縮,3
25,按マ指,東洋医学臨床論,127,下腿三頭筋のストレッチでゆっくりと足関節を背屈位にし、そのまま保持するのはどれか。,スタティックストレッチ,ダイナミックストレッチ,バリスティックストレッチ,神経筋促通（ＰＮＦ）ストレッチ,1
25,按マ指,東洋医学臨床論,128,次の文で示す症例の検査法で陽性となる可能性が最も高いのはどれか。「24歳の男性。陸上の長距離選手。2週間前から練習中に膝の外側に痛みを自覚。近医を受診し、膝の器質的病変は認められない。立位にて軽度Ｏ脚を認めるが、膝関節の腫脹はない。」,マクマレーテスト,グラスピングテスト,前方引き出しテスト,外反ストレステスト,2
25,按マ指,東洋医学臨床論,129,慢性胃炎患者への施術で用いる背部反応点として最も適切なのはどれか。,第5胸椎棘突起下縁と同じ高さ、後正中線の外方１寸5分,第１１胸椎棘突起下縁と同じ高さ、後正中線の外方１寸5分,第2腰椎棘突起下縁と同じ高さ、後正中線の外方１寸5分,第4腰椎棘突起下縁と同じ高さ、後正中線の外方１寸5分,2
25,按マ指,東洋医学臨床論,130,眼精疲労における目の痛みに対して眼球の支配神経を考慮した経穴で適切なのはどれか。,翳風,陽白,四白,頬車,2
25,按マ指,東洋医学臨床論,131,関節リウマチの手指関節痛に対して行う物理療法で、手指関節全体を均等に温めるのに最も適切なのはどれか。,ハイドロコレータパック浴,赤外線療法,パラフィン浴,極超短波療法,3
25,按マ指,東洋医学臨床論,132,機能訓練指導員の役割として正しいのはどれか。,心身機能の評価,福祉に関する相談,介護サービス計画の作成,家族への介護技術指導,1
25,按マ指,総合(専門科目),133,次の文で示す症例について、問いに答えよ。「55歳の男性。右肩関節の運動時に上腕部に痛みが出現する。自発痛はなく、結節間溝部に圧痛を認める。関節拘縮は認められない。」徒手検査で陽性となる可能性が最も高いのはどれか。,ペインフルアークサイン,ドロップアームテスト,ダウバーンサイン,スピードテスト,4
25,按マ指,総合(専門科目),134,次の文で示す症例について、問いに答えよ。「55歳の男性。右肩関節の運動時に上腕部に痛みが出現する。自発痛はなく、結節間溝部に圧痛を認める。関節拘縮は認められない。」施術対象となる罹患筋はどれか。,上腕二頭筋長頭,上腕二頭筋短頭,上腕三頭筋外側頭,上腕三頭筋内側頭,1
25,按マ指,総合(専門科目),135,次の文で示す症例について、問いに答えよ。「35歳の女性。主訴は手の運動麻痺。自転車で転倒し、左上腕骨を骨折した。手の麻痺とともに前腕から手背の感覚障害をきたした。」本症例の運動麻痺でみられる手の変形はどれか。,猿手,鷲手,下垂手,尺側偏位,3
25,按マ指,総合(専門科目),136,次の文で示す症例について、問いに答えよ。「35歳の女性。主訴は手の運動麻痺。自転車で転倒し、左上腕骨を骨折した。手の麻痺とともに前腕から手背の感覚障害をきたした。」手の運動麻痺の治療として低周波電気療法を行う場合、導子を当てる部位で適切なのはどれか。,孔最と尺沢,合谷と曲池,内関と曲沢,支正と小海,2
25,按マ指,総合(専門科目),137,次の文で示す症例について、問いに答えよ。「56歳の男性。主訴は右片麻痺。麻痺側の上肢を動かそうとすると肩・肘の同時屈曲がみられる。」本症例のブルンストローム回復ステージ（6段階）はどれか。,ステージⅡ,ステージⅢ,ステージⅣ,ステージⅤ,2
25,按マ指,総合(専門科目),138,次の文で示す症例について、問いに答えよ。「56歳の男性。主訴は右片麻痺。麻痺側の上肢を動かそうとすると肩・肘の同時屈曲がみられる。」右上肢の痙性抑制を目的として痙性筋への自原抑制による治療を行う場合、最も適切なのはどれか。,赤外線療法,超短波療法,超音波療法,治療的電気療法,4
25,按マ指,総合(専門科目),139,次の文で示す症例について、問いに答えよ。「１１歳の男児。野球の投手をしている。連日の練習で肩を使いすぎ、投球動作時に肩が痛む。近医を受診し、エックス線検査で異常所見がみられた。」本症例でみられるエックス線所見はどれか。,肩峰下の骨棘,肩鎖関節の亜脱臼,上腕骨近位骨端線離開,腱板の石灰化,3
25,按マ指,総合(専門科目),140,次の文で示す症例について、問いに答えよ。「１１歳の男児。野球の投手をしている。連日の練習で肩を使いすぎ、投球動作時に肩が痛む。近医を受診し、エックス線検査で異常所見がみられた。」本症例の指導で最も適切なのはどれか。,軽めの投球を行わせる。,投球フォームを改良する。,シャドーピッチングを行わせる。,投球動作を中止させる。,4
25,按マ指,按摩・マッサージ・指圧理論,141,下腿のむくみを取り除く目的で下腿三頭筋にマッサージ施術を行う場合、最も適切な手技はどれか。,母指軽擦法,手掌間歇圧迫法,四指持続圧迫法,環状叩打法,2
25,按マ指,按摩・マッサージ・指圧理論,142,ポンプ手技を基本手技とするのはどれか。,結合織マッサージ,筋肉マッサージ,リンパドレナージ,モビリゼーション,3
25,按マ指,按摩・マッサージ・指圧理論,143,指圧の基本圧法のうち2段押し、3段押しともいわれるのはどれか。,緩圧法,衝圧法,持続圧法,吸圧法,1
25,按マ指,按摩・マッサージ・指圧理論,144,患者の感受性と施術の刺激量の原則で誤っているのはどれか。,初めて治療を受ける人には力を弱めにする。,腰部は腹部より力を強めにする。,虚弱体質の人には施術時間を短くする。,高齢者は青壮年者より施術時間を長くする。,4
